lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.5	0.0001	300	200	128	0.0001	0.9	0.0005	93.81	54720	3:20:49.769522	2:36:39.071472	93.39	0.1602
0.01	0.5	0.001	300	200	128	0.0001	0.9	0.0005	93.52	55008	3:20:53.749084	2:36:43.307849	93.34	0.1584
0.01	0.5	0.01	300	200	128	0.0001	0.9	0.0005	93.8	61632	3:24:35.043892	2:40:21.198557	93.68	0.1601
0.01	0.5	0.1	300	200	128	0.0001	0.9	0.0005	93.91	50688	3:20:38.813848	2:36:33.670519	93.57	0.1535
0.01	0.5	0.3	300	200	128	0.0001	0.9	0.0005	93.6	33408	3:22:56.694501	2:38:15.504925	93.36	0.1437
0.01	0.5	0.6	300	200	128	0.0001	0.9	0.0005	93.59	28512	3:23:46.129293	2:38:27.804706	93.41	0.1331
0.01	0.8	0.0001	300	200	128	0.0001	0.9	0.0005	93.33	260640	3:30:03.897249	2:44:08.241073	93.29	0.1776
0.01	0.8	0.001	300	200	128	0.0001	0.9	0.0005	93.57	237600	3:30:31.658628	2:44:35.705631	93.29	0.1838
0.01	0.8	0.01	300	200	128	0.0001	0.9	0.0005	93.61	228096	3:30:32.053303	2:44:42.800335	93.27	0.1823
0.01	0.8	0.1	300	200	128	0.0001	0.9	0.0005	93.48	214272	3:30:51.166557	2:44:56.274364	93.11	0.1769
0.01	0.8	0.3	300	200	128	0.0001	0.9	0.0005	93.61	145728	3:30:33.452412	2:44:21.537762	93.32	0.1682
0.01	0.8	0.6	300	200	128	0.0001	0.9	0.0005	93.81	142848	3:24:00.415696	2:38:18.414192	93.58	0.1552
0.01	1.1	0.0001	300	200	128	0.0001	0.9	0.0005	92.91	452736	3:30:09.509934	2:44:22.188164	92.88	0.1893
0.01	1.1	0.001	300	200	128	0.0001	0.9	0.0005	93.18	397728	3:29:52.820126	2:44:04.400119	92.98	0.1985
0.01	1.1	0.01	300	200	128	0.0001	0.9	0.0005	93.17	418176	3:30:08.820201	2:44:20.527845	93.16	0.1957
0.01	1.1	0.1	300	200	128	0.0001	0.9	0.0005	92.97	392544	3:29:25.645794	2:43:29.421747	92.6	0.1912
