lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.1	0.2	0.0001	300	200	128	0.0001	0.9	0.0005	93.36	470610	3:21:51.743250	2:37:00.246603	93.34	0.11
0.1	0.2	0.001	300	200	128	0.0001	0.9	0.0005	93.08	469026	3:21:07.516592	2:36:20.515689	92.95	0.9582
0.1	0.2	0.01	300	200	128	0.0001	0.9	0.0005	93.43	393165	3:21:43.548064	2:37:00.126515	93.24	12.8109
0.1	0.2	0.1	300	200	128	0.0001	0.9	0.0005	92.32	411048	3:21:35.045556	2:36:39.181484	92.06	40.1676
0.1	0.2	0.3	300	200	128	0.0001	0.9	0.0005	92.14	364248	3:23:54.489019	2:39:16.029537	91.9	1.0034
0.1	0.5	0.0001	300	200	128	0.0001	0.9	0.0005	91.52	654300	3:21:32.371408	2:36:49.450109	91.71	3.3672
0.1	0.5	0.001	300	200	128	0.0001	0.9	0.0005	92.26	644382	3:21:34.440780	2:36:45.545407	92.22	12.9606
0.1	0.5	0.01	300	200	128	0.0001	0.9	0.0005	91.46	635346	3:21:45.264159	2:37:02.238323	91.32	19.7506
0.1	0.5	0.1	300	200	128	0.0001	0.9	0.0005	91.97	599661	3:21:39.931819	2:36:44.838180	91.91	0.3007
0.1	0.5	0.3	300	200	128	0.0001	0.9	0.0005	92.27	581346	3:21:41.974750	2:37:01.580135	92.22	81.2688
0.1	0.8	0.0001	300	200	128	0.0001	0.9	0.0005	91.68	686520	3:21:32.766678	2:36:48.789739	91.67	0.2417
0.1	0.8	0.001	300	200	128	0.0001	0.9	0.0005	91.26	688248	3:21:20.529807	2:36:41.307770	91.19	39.738
0.1	0.8	0.01	300	200	128	0.0001	0.9	0.0005	91.25	709182	3:21:38.017133	2:36:53.847366	91.12	0.4503
0.1	0.8	0.1	300	200	128	0.0001	0.9	0.0005	91.97	677565	3:21:32.464107	2:36:47.515827	91.7	0.2306
0.1	0.8	0.3	300	200	128	0.0001	0.9	0.0005	91.05	671112	3:21:45.284320	2:36:54.413370	90.98	565.7446
0.1	1.1	0.0001	300	200	128	0.0001	0.9	0.0005	90.57	713943	3:22:15.655132	2:36:54.491491	90.35	18.2967
0.1	1.1	0.001	300	200	128	0.0001	0.9	0.0005	90.72	720819	3:21:39.492388	2:37:08.459954	90.59	1313.5178
0.1	1.1	0.01	300	200	128	0.0001	0.9	0.0005	90.25	721548	3:22:05.538296	2:37:09.581702	90.54	135.1395
0.1	1.1	0.1	300	200	128	0.0001	0.9	0.0005	90.68	695502	3:21:25.798625	2:36:36.735176	90.49	12.3227
0.1	1.1	0.3	300	200	128	0.0001	0.9	0.0005	91.44	694845	3:21:56.576990	2:36:54.644968	91.21	42.9459
0.1	1.4	0.0001	300	200	128	0.0001	0.9	0.0005	90.55	735399	3:22:15.216562	2:36:46.009984	90.3	0.318
0.1	1.4	0.001	300	200	128	0.0001	0.9	0.0005	89.86	739719	3:22:17.479811	2:36:54.612273	89.59	281.8117
0.1	1.4	0.01	300	200	128	0.0001	0.9	0.0005	89.67	741267	3:22:55.881260	2:38:04.013266	89.42	367.0311
0.1	1.4	0.1	300	200	128	0.0001	0.9	0.0005	90.26	727938	3:22:33.630785	2:37:14.305865	90.05	0.9537
0.1	1.4	0.3	300	200	128	0.0001	0.9	0.0005	90.55	720792	3:21:47.324598	2:37:04.527783	90.35	50.0716
0.1	1.7	0.0001	300	200	128	0.0001	0.9	0.0005	88.75	763614	3:21:30.562754	2:36:55.530603	88.42	160.4607
0.1	1.7	0.001	300	200	128	0.0001	0.9	0.0005	88.93	762615	3:21:36.910497	2:36:58.163969	88.62	0.4164
0.1	1.7	0.01	300	200	128	0.0001	0.9	0.0005	89.35	754488	3:22:07.689234	2:36:55.457780	89.08	857.6486
0.1	1.7	0.1	300	200	128	0.0001	0.9	0.0005	89.8	751842	3:21:58.071433	2:37:24.851977	89.58	6.4235
0.1	1.7	0.3	300	200	128	0.0001	0.9	0.0005	89.99	742482	3:22:15.991071	2:37:18.480841	90.2	77.1602
