Input_features	Output_features	Pruned_entities	Unpruned_entities
3	16	8	8
16	16	0	16
16	16	4	12
16	16	1	15
16	16	3	13
16	16	14	2
16	16	3	13
16	16	16	0
16	16	16	0
16	16	16	0
16	16	16	0
16	16	1	15
16	16	1	15
16	16	8	8
16	16	3	13
16	16	13	3
16	16	4	12
16	16	11	5
16	16	3	13
16	32	14	18
32	32	16	16
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	32	0
32	32	16	16
32	32	9	23
32	32	3	29
32	32	2	30
32	64	0	64
64	64	12	52
64	64	54	10
64	64	54	10
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	64	0
64	64	43	21
64	64	49	15
64	64	16	48
64	64	45	19
