lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.33	64.72	154539	2:25:50.874557	1:51:56.276710	62.94	1.383
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	100.0	68.16	0	2:22:10.080630	1:48:54.552939	67.63	0.5
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.01	69.79	0	2:24:38.663799	1:51:08.312903	69.32	1.8075
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.33	65.8	142272	2:22:10.819351	1:49:33.893517	64.19	1.3323
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	100.0	68.89	12096	2:22:05.490859	1:49:01.879341	68.34	0.9458
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.01	69.44	0	2:23:55.496524	1:50:21.580003	68.98	1.3214
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.33	67.69	89136	2:25:31.371775	1:51:47.488754	66.2	1.1711
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	100.0	64.86	149760	2:22:06.470849	1:48:53.405257	63.29	1.356
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	68.97	4167	2:23:32.218886	1:50:10.311868	67.45	0.7377
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	69.06	10935	2:23:32.230121	1:50:41.161975	68.09	0.7767
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.49	40518	2:21:29.852219	1:48:28.330191	67.13	0.6486
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.01	68.04	8982	2:23:31.049105	1:50:23.263109	66.59	0.771
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.33	69.05	11052	2:26:19.979176	1:52:25.219424	67.92	0.7788
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	100.0	69.44	1575	2:21:57.226405	1:48:48.348942	69.04	0.5026
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.01	68.55	10188	2:22:46.621251	1:49:27.667888	67.34	0.7468
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.33	68.95	8262	2:24:47.823359	1:51:12.292454	68.37	0.7415
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	100.0	69.0	4374	2:21:11.245071	1:48:13.889346	68.26	0.6284
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.01	69.24	9324	2:22:23.975163	1:49:25.203610	67.86	0.6912
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.33	69.1	9441	2:25:05.607245	1:51:36.091552	68.0	0.7087
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	100.0	69.12	13590	2:21:21.883748	1:48:19.112028	67.52	0.7277
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	66.44	66492	2:23:41.727678	1:50:12.535219	62.97	1.8341
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	60.99	183015	2:21:17.872056	1:48:43.472851	56.66	1.641
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.77	39681	2:21:58.073262	1:48:51.786801	67.03	0.6505
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.01	67.68	39366	2:23:19.263917	1:49:59.685113	64.55	1.7203
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.33	61.18	183015	2:26:03.361676	1:52:11.552897	56.15	1.6629
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	100.0	68.51	4950	2:22:18.366162	1:48:59.191968	67.44	0.6074
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.01	64.87	71937	2:23:19.933375	1:49:58.303368	59.9	1.6411
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.33	60.7	175041	2:20:52.767170	1:48:19.898004	56.93	1.627
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	100.0	66.53	90801	2:21:37.211459	1:48:37.754085	63.52	1.2387
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.01	68.74	42759	2:23:27.060869	1:50:14.421873	64.34	1.3519
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.33	62.19	169164	2:26:12.954839	1:52:19.615783	58.44	1.4975
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	100.0	53.01	215334	2:21:53.071332	1:48:35.791332	49.32	1.8903
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	62.94	161478	2:23:29.564940	1:50:10.282825	59.4	2.4831
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	42.79	246087	2:21:44.411381	1:49:13.392900	37.46	2.4001
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.98	33345	2:22:06.684225	1:48:57.177148	67.03	0.6495
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.01	64.28	119745	2:23:41.900664	1:50:24.846274	58.9	2.4314
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.33	47.26	239895	2:25:51.914278	1:52:17.508404	43.17	2.2371
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	100.0	69.15	7137	2:21:45.839244	1:48:40.930577	68.71	0.6871
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.01	63.57	119457	2:23:43.405577	1:50:17.641083	57.51	2.1261
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.33	49.47	234450	2:21:16.435278	1:48:40.300163	45.56	2.0972
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	100.0	60.73	177516	2:21:53.276218	1:48:47.331068	57.21	1.5722
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.01	62.68	162828	2:23:21.515782	1:50:08.724224	58.35	1.7745
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.33	46.71	236007	2:26:06.772426	1:52:15.926454	43.24	2.1316
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	100.0	44.58	245511	2:21:39.607950	1:48:34.909726	41.4	2.2556
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	61.51	168444	2:23:19.889096	1:50:06.155177	56.7	2.8336
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	36.54	253656	2:26:32.794253	1:52:49.506255	33.8	2.5411
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.61	31329	2:21:56.999371	1:48:48.999279	67.13	0.6175
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.01	61.33	166716	2:23:42.643831	1:50:26.286767	55.58	2.8107
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.33	41.59	248508	2:21:52.080615	1:49:31.453324	37.16	2.4503
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	100.0	68.37	10881	2:21:40.999730	1:48:40.527181	67.72	0.7357
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.01	61.55	167841	2:23:55.879768	1:50:20.544190	55.83	2.4464
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.33	45.81	238950	2:22:04.109629	1:49:31.488412	40.4	2.2458
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	100.0	56.17	202977	2:22:18.480169	1:49:08.756132	52.11	1.8091
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.01	61.61	167382	2:23:23.917564	1:50:07.331554	55.88	1.929
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.33	45.38	242370	2:26:04.896436	1:52:16.521187	42.11	2.2183
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	100.0	41.03	248076	2:21:46.648772	1:48:41.938474	32.71	2.4044
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	67.98	0	2:23:32.853515	1:50:22.285638	67.78	0.5295
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	68.31	0	2:25:40.500480	1:52:00.415048	68.05	0.523
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.47	1152	2:22:11.494539	1:48:50.878352	67.26	0.3875
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.01	68.56	0	2:23:39.646477	1:50:19.225450	67.91	0.5387
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.33	68.14	0	2:20:55.204017	1:48:37.237589	67.65	0.5219
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	100.0	67.96	0	2:22:00.201417	1:48:46.900292	67.51	0.3893
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.01	68.33	0	2:23:20.964985	1:50:07.367393	67.93	0.507
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.33	67.31	0	2:25:51.403294	1:52:02.688286	67.05	0.5045
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	100.0	67.14	0	2:22:01.452419	1:48:48.184251	66.87	0.4487
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.01	67.81	0	2:23:42.650048	1:50:21.313661	67.65	0.4685
