lr	lambda	alpha	M_scale	Final_Accuracy	Sparsity
0.01	1.6	0.01	0.33	64.72	154539
0.01	1.6	0.01	100.0	68.16	0
0.01	1.6	0.3	0.01	69.79	0
0.01	1.6	0.3	0.33	65.8	142272
0.01	1.6	0.3	100.0	68.89	12096
0.01	1.6	0.6	0.01	69.44	0
0.01	1.6	0.6	0.33	67.69	89136
0.01	1.6	0.6	100.0	64.86	149760
0.1	0.1	0.0001	0.01	68.97	4167
0.1	0.1	0.0001	0.33	69.06	10935
0.1	0.1	0.0001	100.0	67.49	40518
0.1	0.1	0.01	0.01	68.04	8982
0.1	0.1	0.01	0.33	69.05	11052
0.1	0.1	0.01	100.0	69.44	1575
0.1	0.1	0.3	0.01	68.55	10188
0.1	0.1	0.3	0.33	68.95	8262
0.1	0.1	0.3	100.0	69.0	4374
0.1	0.1	0.6	0.01	69.24	9324
0.1	0.1	0.6	0.33	69.1	9441
0.1	0.1	0.6	100.0	69.12	13590
0.1	0.7	0.0001	0.01	66.44	66492
0.1	0.7	0.0001	0.33	60.99	183015
0.1	0.7	0.0001	100.0	67.77	39681
0.1	0.7	0.01	0.01	67.68	39366
0.1	0.7	0.01	0.33	61.18	183015
0.1	0.7	0.01	100.0	68.51	4950
0.1	0.7	0.3	0.01	64.87	71937
0.1	0.7	0.3	0.33	60.7	175041
0.1	0.7	0.3	100.0	66.53	90801
0.1	0.7	0.6	0.01	68.74	42759
0.1	0.7	0.6	0.33	62.19	169164
0.1	0.7	0.6	100.0	53.01	215334
0.1	1.3	0.0001	0.01	62.94	161478
0.1	1.3	0.0001	0.33	42.79	246087
0.1	1.3	0.0001	100.0	67.98	33345
0.1	1.3	0.01	0.01	64.28	119745
0.1	1.3	0.01	0.33	47.26	239895
0.1	1.3	0.01	100.0	69.15	7137
0.1	1.3	0.3	0.01	63.57	119457
0.1	1.3	0.3	0.33	49.47	234450
0.1	1.3	0.3	100.0	60.73	177516
0.1	1.3	0.6	0.01	62.68	162828
0.1	1.3	0.6	0.33	46.71	236007
0.1	1.3	0.6	100.0	44.58	245511
0.1	1.6	0.0001	0.01	61.51	168444
0.1	1.6	0.0001	0.33	36.54	253656
0.1	1.6	0.0001	100.0	67.61	31329
0.1	1.6	0.01	0.01	61.33	166716
0.1	1.6	0.01	0.33	41.59	248508
0.1	1.6	0.01	100.0	68.37	10881
0.1	1.6	0.3	0.01	61.55	167841
0.1	1.6	0.3	0.33	45.81	238950
0.1	1.6	0.3	100.0	56.17	202977
0.1	1.6	0.6	0.01	61.61	167382
0.1	1.6	0.6	0.33	45.38	242370
0.1	1.6	0.6	100.0	41.03	248076
0.01	0.1	0.0001	0.01	67.98	0
0.01	0.1	0.0001	0.33	68.31	0
0.01	0.1	0.0001	100.0	67.47	1152
0.01	0.1	0.01	0.01	68.56	0
0.01	0.1	0.01	0.33	68.14	0
0.01	0.1	0.01	100.0	67.96	0
0.01	0.1	0.3	0.01	68.33	0
0.01	0.1	0.3	0.33	67.31	0
0.01	0.1	0.3	100.0	67.14	0
0.01	0.1	0.6	0.01	67.81	0
0.01	0.1	0.6	0.33	68.22	0
0.01	0.1	0.6	100.0	68.24	0
0.01	0.7	0.0001	0.01	68.59	0
0.01	0.7	0.0001	0.33	68.66	37152
0.01	0.7	0.0001	100.0	67.22	1872
0.01	0.7	0.01	0.01	68.89	0
0.01	0.7	0.01	0.33	68.35	35712
0.01	0.7	0.01	100.0	67.4	0
0.01	0.7	0.3	0.01	69.97	0
0.01	0.7	0.3	0.33	68.63	6624
0.01	0.7	0.3	100.0	68.59	0
0.01	0.7	0.6	0.01	68.71	0
0.01	0.7	0.6	0.33	68.73	1152
0.01	0.7	0.6	100.0	68.82	12960
0.01	1.3	0.0001	0.01	69.27	0
0.01	1.3	0.0001	0.33	64.79	143280
0.01	1.3	0.0001	100.0	67.58	864
0.01	1.3	0.01	0.01	69.33	0
0.01	1.3	0.01	0.33	65.68	143568
0.01	1.3	0.01	100.0	68.04	0
0.01	1.3	0.3	0.01	69.23	0
0.01	1.3	0.3	0.33	66.17	112752
0.01	1.3	0.3	100.0	69.4	2592
0.01	1.3	0.6	0.01	69.18	0
0.01	1.3	0.6	0.33	67.48	78912
0.01	1.3	0.6	100.0	65.44	134640
0.01	1.6	0.0001	0.01	69.41	0
0.01	1.6	0.0001	0.33	65.08	157248
0.01	1.6	0.0001	100.0	67.85	0
0.01	1.6	0.01	0.01	69.3	0
0.01	0.1	0.0001	0.1	68.01	0
0.01	0.1	0.0001	0.66	67.55	0
0.01	0.1	0.0001	2.0	68.46	0
0.01	0.1	0.01	0.1	68.57	0
0.01	0.1	0.01	0.66	68.02	0
0.01	0.1	0.01	2.0	68.48	0
0.01	0.1	0.3	0.1	67.89	0
0.01	0.1	0.3	0.66	67.95	0
0.01	0.1	0.3	2.0	67.34	0
0.01	0.1	0.6	0.1	68.43	0
0.01	0.1	0.6	0.66	67.83	0
0.01	0.1	0.6	2.0	68.03	0
0.01	0.7	0.0001	0.1	69.43	144
0.01	0.7	0.0001	0.66	68.17	24048
0.01	0.7	0.0001	2.0	68.36	75744
0.01	0.7	0.01	0.1	69.18	576
0.01	0.7	0.01	0.66	68.78	26352
0.01	0.7	0.01	2.0	67.07	72288
0.01	0.7	0.3	0.1	69.03	576
0.01	0.7	0.3	0.66	68.39	23328
0.01	0.7	0.3	2.0	68.37	0
0.01	0.7	0.6	0.1	69.23	0
0.01	0.7	0.6	0.66	68.53	16992
0.01	0.7	0.6	2.0	68.8	26496
0.01	1.3	0.0001	0.1	68.58	46656
0.01	1.3	0.0001	0.66	66.01	146448
0.01	1.3	0.0001	2.0	64.4	146880
0.01	1.3	0.01	0.1	68.49	33984
0.01	1.3	0.01	0.66	65.69	139680
0.01	1.3	0.01	2.0	64.81	136827
0.01	1.3	0.3	0.1	69.63	35136
0.01	1.3	0.3	0.66	67.39	85536
0.01	1.3	0.3	2.0	69.05	5184
0.01	1.3	0.6	0.1	69.37	10368
0.01	1.3	0.6	0.66	67.11	106731
0.01	1.3	0.6	2.0	66.2	136368
0.01	1.6	0.0001	0.1	68.69	69408
0.01	1.6	0.0001	0.66	64.87	151776
0.01	1.6	0.0001	2.0	63.3	162603
0.01	1.6	0.01	0.1	68.13	65088
0.01	1.6	0.01	0.66	64.41	155664
0.01	1.6	0.01	2.0	64.27	156096
0.01	1.6	0.3	0.1	67.97	58752
0.01	1.6	0.3	0.66	65.26	143856
0.01	1.6	0.3	2.0	68.31	14832
0.01	1.6	0.6	0.1	68.31	70272
0.01	1.6	0.6	0.66	66.42	123120
0.01	1.6	0.6	2.0	65.35	152496
0.1	0.1	0.0001	0.1	69.05	6012
0.1	0.1	0.0001	0.66	69.05	14742
0.1	0.1	0.0001	2.0	68.23	25713
0.1	0.1	0.01	0.1	69.24	5841
0.1	0.1	0.01	0.66	68.84	13500
0.1	0.1	0.01	2.0	67.9	20556
0.1	0.1	0.3	0.1	68.83	6705
0.1	0.1	0.3	0.66	69.68	11196
0.1	0.1	0.3	2.0	68.44	4113
0.1	0.1	0.6	0.1	68.86	9036
0.1	0.1	0.6	0.66	69.75	7191
0.1	0.1	0.6	2.0	68.55	14598
0.1	0.7	0.0001	0.1	65.02	112833
0.1	0.7	0.0001	0.66	57.53	198999
0.1	0.7	0.0001	2.0	50.54	226161
0.1	0.7	0.01	0.1	65.49	105606
0.1	0.7	0.01	0.66	56.47	210348
0.1	0.7	0.01	2.0	53.36	222471
0.1	0.7	0.3	0.1	63.5	125964
0.1	0.7	0.3	0.66	61.73	172305
0.1	0.7	0.3	2.0	66.76	111798
0.1	0.7	0.6	0.1	64.86	143820
0.1	0.7	0.6	0.66	59.11	177372
0.1	0.7	0.6	2.0	55.26	213777
0.1	1.3	0.0001	0.1	58.08	188172
0.1	1.3	0.0001	0.66	44.27	241596
0.1	1.3	0.0001	2.0	40.28	245052
0.1	1.3	0.01	0.1	57.58	190476
0.1	1.3	0.01	0.66	46.37	242604
0.1	1.3	0.01	2.0	39.21	248247
0.1	1.3	0.3	0.1	57.55	177804
0.1	1.3	0.3	0.66	49.61	229122
0.1	1.3	0.3	2.0	61.13	180999
0.1	1.3	0.6	0.1	52.95	203922
0.1	1.3	0.6	0.66	47.13	234018
0.1	1.3	0.6	2.0	47.47	234828
0.1	1.6	0.0001	0.1	56.2	201852
0.1	1.6	0.0001	0.66	38.79	252396
0.1	1.6	0.0001	2.0	35.76	250002
0.1	1.6	0.01	0.1	54.88	206892
0.1	1.6	0.01	0.66	42.15	244017
0.1	1.6	0.01	2.0	38.01	250551
0.1	1.6	0.3	0.1	50.51	210519
0.1	1.6	0.3	0.66	44.86	240129
0.1	1.6	0.3	2.0	58.67	201969
0.1	1.6	0.6	0.1	54.63	219420
0.1	1.6	0.6	0.66	40.39	245628
0.1	1.6	0.6	2.0	41.98	246807
