lr	lambda	alpha	Accuracy	Final_Accuracy	Sparsity
0.01	0.1	0.0001	68.34	68.5	0
0.01	0.1	0.001	67.81	67.98	0
0.01	0.1	0.01	67.68	68.05	0
0.01	0.1	0.1	67.85	68.17	0
0.01	0.1	0.3	67.68	68.34	0
0.01	0.1	0.6	68.28	68.43	0
0.01	0.4	0.0001	69.13	69.23	1152
0.01	0.4	0.001	68.32	68.57	288
0.01	0.4	0.01	68.19	68.74	576
0.01	0.4	0.1	68.17	68.61	576
0.01	0.4	0.3	67.81	68.34	0
0.01	0.4	0.6	68.18	68.74	0
0.01	0.7	0.0001	67.44	68.28	67392
0.01	0.7	0.001	67.15	68.14	63072
0.01	0.7	0.01	67.2	68.11	43488
0.01	0.7	0.1	67.82	69.02	19008
0.01	0.7	0.3	68.44	68.53	4320
0.01	0.7	0.6	68.47	68.81	15552
0.01	1.0	0.0001	66.08	67.55	88416
0.01	1.0	0.001	65.52	67.02	92160
0.01	1.0	0.01	66.08	66.72	97056
0.01	1.0	0.1	65.34	66.71	98640
0.01	1.0	0.3	67.66	68.41	63360
0.01	1.0	0.6	66.9	67.87	90000
0.01	1.3	0.0001	63.29	64.63	142299
0.01	1.3	0.001	63.61	65.39	140256
0.01	1.3	0.01	64.1	65.74	133344
0.01	1.3	0.1	63.89	65.58	127440
0.01	1.3	0.3	67.5	67.82	79776
0.01	1.3	0.6	63.88	65.5	142992
0.01	1.6	0.0001	63.31	65.36	152955
0.01	1.6	0.001	62.3	64.09	158283
0.01	1.6	0.01	63.26	65.23	149931
0.01	1.6	0.1	62.78	64.01	153072
0.01	1.6	0.3	66.3	67.24	88272
0.01	1.6	0.6	62.74	64.76	147744
0.01	1.9	0.0001	60.77	63.57	164592
0.01	1.9	0.001	60.6	63.48	161136
0.01	1.9	0.01	60.85	62.89	164736
0.01	1.9	0.1	61.52	63.47	164880
0.01	1.9	0.3	66.02	67.57	99792
0.01	1.9	0.6	62.26	65.02	156987
0.1	0.1	0.0001	67.58	68.58	14220
0.1	0.1	0.001	66.97	68.31	13671
0.1	0.1	0.01	68.45	69.54	11025
0.1	0.1	0.1	67.86	68.8	14913
0.1	0.1	0.3	68.18	68.96	9783
0.1	0.1	0.6	67.31	68.26	12897
0.1	0.4	0.0001	60.55	62.65	168588
0.1	0.4	0.001	60.29	63.19	169569
0.1	0.4	0.01	61.28	64.55	128790
0.1	0.4	0.1	60.36	64.94	122508
0.1	0.4	0.3	64.9	67.26	90279
0.1	0.4	0.6	61.96	65.11	123660
0.1	0.7	0.0001	50.04	53.6	214524
0.1	0.7	0.001	51.74	55.98	202743
0.1	0.7	0.01	53.56	58.78	191457
0.1	0.7	0.1	52.9	56.65	196299
0.1	0.7	0.3	58.22	62.42	173169
0.1	0.7	0.6	57.09	60.91	184545
0.1	1.0	0.0001	44.71	50.46	218358
0.1	1.0	0.001	43.59	44.73	240534
0.1	1.0	0.01	44.11	47.39	237879
0.1	1.0	0.1	45.34	50.85	223425
0.1	1.0	0.3	54.93	58.93	191142
0.1	1.0	0.6	43.98	45.39	237852
0.1	1.3	0.0001	37.95	43.13	244908
0.1	1.3	0.001	35.64	40.08	247986
0.1	1.3	0.01	41.68	45.01	239202
0.1	1.3	0.1	41.48	45.43	239580
0.1	1.3	0.3	49.98	56.29	204993
0.1	1.3	0.6	35.81	35.12	250956
0.1	1.6	0.0001	32.85	38.72	251676
0.1	1.6	0.001	33.84	40.56	248877
0.1	1.6	0.01	29.91	32.97	256599
0.1	1.6	0.1	35.18	37.35	250866
0.1	1.6	0.3	42.55	48.9	226332
0.1	1.6	0.6	34.03	39.45	248535
0.1	1.9	0.0001	30.0	32.94	252945
0.1	1.9	0.001	26.0	27.87	258390
0.1	1.9	0.01	27.39	32.91	253404
0.1	1.9	0.1	31.17	35.04	250011
0.1	1.9	0.3	40.49	44.89	240012
0.1	1.9	0.6	33.13	35.01	253980
