lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.4	0.0001	300	200	64	0.0001	0.9	0.0005	68.72	1755	2:19:16.321499	1:47:07.908763	68.42	0.8697
0.01	0.4	0.001	300	200	64	0.0001	0.9	0.0005	69.01	0	2:19:09.622948	1:46:55.679447	68.87	0.8625
0.01	0.4	0.01	300	200	64	0.0001	0.9	0.0005	69.17	864	2:19:41.278264	1:47:07.819876	68.67	0.8644
0.01	0.4	0.1	300	200	64	0.0001	0.9	0.0005	69.14	2016	2:19:01.622014	1:46:51.815620	68.87	0.8639
0.01	0.4	0.3	300	200	64	0.0001	0.9	0.0005	68.67	576	2:18:58.721186	1:46:48.372703	68.67	0.6808
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	68.4	73872	2:19:34.621910	1:46:57.820904	67.8	1.0754
0.01	0.7	0.001	300	200	64	0.0001	0.9	0.0005	68.6	68400	2:19:11.721522	1:46:58.101122	68.26	1.068
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	67.85	71424	2:19:30.522311	1:47:14.692946	67.53	1.0838
0.01	0.7	0.1	300	200	64	0.0001	0.9	0.0005	69.19	15840	2:19:16.179363	1:46:51.280834	69.01	1.0027
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	69.47	10080	2:19:10.760989	1:46:54.483172	68.99	0.811
0.01	1.0	0.0001	300	200	64	0.0001	0.9	0.0005	66.45	110160	2:19:36.254666	1:47:09.557789	66.23	1.2174
0.01	1.0	0.001	300	200	64	0.0001	0.9	0.0005	66.9	94608	2:19:09.734292	1:46:45.862845	66.56	1.1945
0.01	1.0	0.01	300	200	64	0.0001	0.9	0.0005	66.84	105003	2:19:34.280839	1:47:00.718122	66.41	1.2087
0.01	1.0	0.1	300	200	64	0.0001	0.9	0.0005	67.25	93888	2:19:14.091628	1:47:03.786467	66.98	1.1777
0.01	1.0	0.3	300	200	64	0.0001	0.9	0.0005	68.59	67680	2:19:21.053639	1:46:58.396330	68.1	0.9477
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	64.7	142704	2:19:17.576721	1:46:54.111772	64.24	1.3378
0.01	1.3	0.001	300	200	64	0.0001	0.9	0.0005	64.85	142416	2:19:41.682897	1:47:19.558478	64.46	1.3197
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	64.9	141840	2:19:28.502950	1:47:09.068108	64.49	1.3259
0.01	1.3	0.1	300	200	64	0.0001	0.9	0.0005	64.63	140544	2:19:06.082121	1:46:50.774380	64.43	1.3311
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	67.11	80208	2:19:35.533376	1:47:05.171556	67.94	1.0307
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	64.15	151056	2:19:40.229460	1:47:21.050078	63.93	1.3804
0.01	1.6	0.001	300	200	64	0.0001	0.9	0.0005	64.27	154656	2:19:32.343805	1:47:09.252425	63.81	1.3974
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	64.29	152928	2:19:32.280951	1:46:47.385090	63.86	1.399
0.01	1.6	0.1	300	200	64	0.0001	0.9	0.0005	63.57	159435	2:19:08.401660	1:46:50.299278	63.12	1.3904
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	66.99	90576	2:19:20.914304	1:46:57.294208	66.91	1.1102
