lambda	alpha	Final_Accuracy	Sparsity
0.4	0.0001	68.72	1755
0.4	0.001	69.01	0
0.4	0.01	69.17	864
0.4	0.1	69.14	2016
0.4	0.3	68.67	576
0.7	0.0001	68.4	73872
0.7	0.001	68.6	68400
0.7	0.01	67.85	71424
0.7	0.1	69.19	15840
0.7	0.3	69.47	10080
1.0	0.0001	66.45	110160
1.0	0.001	66.9	94608
1.0	0.01	66.84	105003
1.0	0.1	67.25	93888
1.0	0.3	68.59	67680
1.3	0.0001	64.7	142704
1.3	0.001	64.85	142416
1.3	0.01	64.9	141840
1.3	0.1	64.63	140544
1.3	0.3	67.11	80208
1.6	0.0001	64.15	151056
1.6	0.001	64.27	154656
1.6	0.01	64.29	152928
1.6	0.1	63.57	159435
1.6	0.3	66.99	90576
